I(x)	J(y)	bx	by	ix	iy	Distance 
10	5	1.79049	0.819438	1.62891	0.722231	0.188566426622026
11	5	1.96795	0.806681	1.85792	0.722231	0.138702571713721
12	5	2.12885	0.806681	2.07104	0.712272	0.1107025536336
13	5	2.25426	0.805264	2.25234	0.726214	0.079073313450241
14	5	2.35127	0.789673	2.37957	0.731193	0.064967687353022
15	5	2.45538	0.810934	2.5128	0.723367	0.104714067292795
16	5	2.62574	0.819438	2.69788	0.712975	0.128602293793696
17	5	2.72749	0.820855	2.82783	0.735244	0.131899048218704
18	5	2.81977	0.822273	2.91053	0.736728	0.124720987107223
19	5	2.96173	0.825108	3.07592	0.748605	0.137448408899485
20	5	3.07294	0.825108	3.22557	0.723367	0.183431589375985
21	5	3.19125	0.832195	3.33583	0.723367	0.18096107311795
22	5	3.34742	0.85629	3.54151	0.748605	0.221961679857132
23	5	3.42313	0.846369	3.48941	0.736728	0.128117864800347
24	5	3.51541	0.844951	3.61306	0.767905	0.124384921176162
25	5	3.64555	0.873299	3.72337	0.767905	0.131010868388848
26	5	3.72127	0.873299	3.80685	0.748605	0.151236668953002
27	5	3.82064	0.873299	3.9112	0.748605	0.154109400219454
28	5	3.91529	0.873299	3.9589	0.767905	0.114060191723493
1	6	0.943414	0.912986	0.846438	0.890625	0.099520645581708
2	6	1.03569	0.912986	0.929138	0.890625	0.108873059224953
3	6	1.09011	0.912986	0.980031	0.867708	0.119027238584284
4	6	1.18476	0.912986	1.0341	0.836458	0.16898215995779
5	6	1.26994	0.903065	1.12635	0.817708	0.167044621430922
6	6	1.36459	0.903065	1.18996	0.817708	0.19437452083285
7	6	1.4687	0.912986	1.2822	0.786458	0.225369884376773
8	6	1.56571	0.912986	1.36172	0.763542	0.252874334870109
9	6	1.66982	0.912986	1.48577	0.763542	0.237082077846471
10	6	1.78103	0.891725	1.65117	0.786458	0.167166865404003
11	6	1.95849	0.871882	1.86429	0.763542	0.143565997367065
12	6	2.13358	0.891725	2.05831	0.763542	0.148648761814554
13	6	2.25426	0.878969	2.24916	0.788542	0.090570703480762
14	6	2.3631	0.869047	2.38911	0.788542	0.084602453421872
15	6	2.45775	0.881804	2.53225	0.778125	0.127669828232829
16	6	2.62574	0.891725	2.70083	0.786458	0.129304483251742
17	6	2.73222	0.891725	2.82806	0.786458	0.142360271455909
18	6	2.81977	0.891725	2.93303	0.786458	0.154625253076592
19	6	2.99249	0.903065	3.09843	0.803125	0.145640953031762
20	6	3.10134	0.903065	3.23838	0.786458	0.179936527834123
21	6	3.20545	0.912986	3.34335	0.803125	0.176311795751164
22	6	3.33795	0.924326	3.53737	0.836458	0.217919989500734
23	6	3.42787	0.929995	3.48648	0.817708	0.126662948287966
24	6	3.51305	0.935665	3.60735	0.836458	0.136874098532192
25	6	3.64318	0.949839	3.69641	0.851042	0.112224240291481
26	6	3.73073	0.955508	3.79183	0.836458	0.133813723137801
27	6	3.81118	0.962595	3.88726	0.836458	0.147304817195501
28	6	3.91292	0.956926	3.92861	0.867708	0.090587127253269
1	7	0.94578	1.02071	0.840077	0.988542	0.110489386064907
